extensive,none,slight,slight,none,slight,none,slight,moderate,none,slight,moderate,complete,slight,moderate,slight,slight,complete,slight,slight,moderate,slight,complete,complete,slight,complete,slight,complete,complete,complete,complete,extensive,complete,none,extensive,extensive,extensive,slight,slight,moderate,extensive,slight,moderate,extensive,slight,slight,slight,moderate,extensive,extensive,complete,complete,slight,moderate,slight,extensive,extensive,complete,complete,extensive,moderate,extensive,moderate,slight,complete,complete,slight,complete,slight,complete,complete,complete,complete,moderate,complete,slight,moderate
extensive,slight,moderate,none,slight,complete,none,none,moderate,none,none,slight,slight,slight,slight,moderate,slight,complete,slight,none,moderate,moderate,complete,complete,slight,complete,slight,extensive,extensive,extensive,extensive,slight,slight,slight,extensive,slight,complete,complete,extensive,complete,complete,extensive,moderate,slight,extensive,moderate,extensive,extensive,slight,slight,moderate,complete,complete,extensive,extensive,extensive,extensive,slight,complete,slight,extensive,slight,moderate,slight,moderate,extensive,slight,moderate,slight,extensive,extensive,extensive,moderate,none,extensive,slight,complete
slight,slight,complete,slight,slight,slight,slight,slight,complete,slight,slight,slight,slight,slight,moderate,slight,slight,complete,none,slight,slight,slight,extensive,moderate,slight,complete,slight,complete,complete,complete,complete,moderate,extensive,none,moderate,slight,moderate,moderate,moderate,complete,complete,slight,complete,none,slight,slight,slight,complete,slight,slight,moderate,slight,complete,extensive,moderate,complete,complete,complete,complete,extensive,complete,complete,extensive,slight,extensive,moderate,slight,slight,none,complete,complete,extensive,extensive,slight,complete,slight,complete
moderate,slight,complete,slight,slight,slight,slight,slight,moderate,slight,none,extensive,slight,complete,moderate,moderate,slight,slight,slight,slight,slight,slight,slight,slight,slight,slight,slight,slight,moderate,moderate,slight,slight,slight,slight,extensive,slight,slight,complete,slight,complete,extensive,moderate,slight,slight,complete,slight,extensive,complete,extensive,extensive,complete,complete,none,slight,extensive,moderate,complete,moderate,slight,slight,moderate,extensive,extensive,slight,complete,complete,extensive,slight,none,slight,slight,extensive,slight,slight,extensive,slight,slight
extensive,extensive,complete,moderate,slight,slight,slight,complete,moderate,complete,moderate,extensive,complete,extensive,complete,moderate,moderate,extensive,moderate,slight,slight,slight,moderate,moderate,moderate,complete,slight,moderate,complete,complete,complete,complete,complete,complete,complete,slight,extensive,slight,extensive,complete,moderate,moderate,extensive,slight,complete,slight,moderate,extensive,slight,moderate,extensive,complete,complete,moderate,slight,slight,extensive,complete,slight,extensive,slight,slight,complete,slight,complete,complete,complete,extensive,slight,complete,complete,complete,slight,slight,complete,slight,extensive
extensive,slight,slight,none,slight,slight,slight,slight,slight,none,none,moderate,slight,slight,slight,slight,slight,slight,none,none,none,none,slight,slight,none,extensive,slight,extensive,complete,complete,complete,slight,slight,slight,moderate,slight,slight,slight,complete,complete,extensive,extensive,moderate,none,slight,slight,slight,complete,slight,moderate,moderate,slight,complete,complete,moderate,slight,complete,extensive,moderate,moderate,moderate,moderate,moderate,slight,complete,complete,slight,moderate,slight,complete,complete,extensive,moderate,slight,complete,slight,moderate
moderate,slight,moderate,slight,none,moderate,slight,moderate,slight,slight,slight,moderate,slight,slight,moderate,slight,none,moderate,slight,slight,slight,slight,moderate,moderate,moderate,complete,slight,moderate,complete,extensive,complete,moderate,slight,slight,moderate,slight,complete,complete,slight,complete,complete,complete,complete,slight,complete,slight,complete,complete,slight,moderate,complete,complete,complete,complete,extensive,moderate,extensive,complete,moderate,complete,complete,complete,complete,slight,complete,complete,moderate,complete,slight,complete,complete,complete,slight,none,complete,slight,complete
complete,slight,slight,slight,moderate,complete,moderate,slight,complete,moderate,slight,complete,complete,complete,complete,extensive,slight,complete,complete,slight,complete,slight,complete,complete,moderate,complete,moderate,complete,complete,complete,complete,complete,complete,complete,complete,slight,complete,complete,complete,complete,complete,moderate,complete,complete,complete,slight,extensive,complete,complete,complete,complete,complete,complete,complete,extensive,complete,complete,complete,complete,complete,extensive,complete,complete,complete,complete,complete,complete,complete,slight,complete,complete,complete,complete,slight,complete,slight,complete
extensive,slight,slight,slight,slight,slight,none,slight,slight,slight,none,slight,none,slight,none,slight,slight,moderate,slight,slight,slight,slight,moderate,slight,slight,extensive,slight,moderate,complete,slight,complete,extensive,extensive,slight,moderate,none,extensive,complete,moderate,slight,complete,extensive,complete,slight,extensive,slight,slight,extensive,slight,slight,slight,moderate,complete,complete,slight,slight,slight,slight,moderate,slight,moderate,none,extensive,none,extensive,complete,complete,complete,slight,complete,complete,complete,slight,moderate,complete,slight,moderate
slight,slight,none,none,slight,slight,slight,slight,slight,none,none,slight,none,moderate,none,slight,slight,slight,none,none,none,none,slight,slight,none,complete,none,moderate,complete,moderate,complete,moderate,moderate,slight,moderate,none,moderate,complete,extensive,moderate,moderate,moderate,extensive,none,moderate,slight,moderate,complete,slight,extensive,extensive,moderate,complete,complete,extensive,complete,complete,moderate,moderate,moderate,moderate,slight,moderate,none,slight,extensive,none,moderate,slight,complete,extensive,complete,moderate,slight,complete,none,slight
moderate,slight,slight,slight,slight,slight,slight,none,complete,none,none,slight,slight,complete,slight,complete,slight,moderate,slight,none,slight,slight,extensive,complete,slight,extensive,none,slight,complete,extensive,complete,slight,moderate,moderate,extensive,moderate,complete,slight,moderate,complete,extensive,moderate,extensive,moderate,slight,extensive,complete,complete,complete,extensive,complete,complete,complete,complete,extensive,extensive,extensive,complete,extensive,slight,moderate,slight,complete,extensive,complete,complete,slight,complete,extensive,complete,complete,complete,extensive,moderate,complete,slight,moderate
complete,slight,slight,slight,slight,slight,slight,slight,extensive,slight,slight,moderate,extensive,extensive,extensive,extensive,none,moderate,complete,slight,slight,slight,slight,slight,slight,extensive,slight,none,slight,slight,moderate,complete,slight,slight,moderate,slight,moderate,complete,complete,complete,complete,extensive,extensive,slight,complete,moderate,extensive,complete,moderate,moderate,complete,complete,moderate,complete,moderate,extensive,complete,complete,moderate,complete,moderate,extensive,complete,moderate,complete,complete,slight,moderate,slight,complete,complete,complete,extensive,slight,complete,slight,complete
none,none,none,none,slight,none,none,none,moderate,none,none,slight,slight,extensive,slight,slight,slight,slight,none,slight,none,none,slight,moderate,none,extensive,none,moderate,complete,slight,complete,extensive,slight,none,slight,none,extensive,slight,slight,none,slight,none,slight,slight,slight,none,slight,complete,slight,slight,slight,extensive,complete,complete,extensive,slight,slight,extensive,slight,slight,moderate,slight,slight,none,extensive,complete,slight,extensive,none,extensive,complete,moderate,complete,slight,complete,none,slight
none,none,none,none,none,none,none,none,slight,none,none,none,none,slight,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,slight,none,none,none,none,none,none,none,slight,none,slight,slight,none,slight,none,slight,none,none,moderate,none,none,none,none,slight,none,none,none,slight,slight,slight,slight,none,none,slight,none,slight,moderate,none,none,none,extensive,extensive,slight,slight,none,complete,none,none
slight,none,moderate,none,none,none,none,slight,slight,slight,slight,slight,moderate,slight,moderate,moderate,slight,moderate,slight,slight,slight,slight,slight,moderate,slight,complete,slight,extensive,complete,complete,complete,complete,slight,slight,slight,slight,complete,extensive,moderate,moderate,complete,slight,complete,moderate,complete,slight,slight,complete,moderate,slight,slight,slight,complete,complete,extensive,slight,moderate,moderate,slight,extensive,moderate,moderate,extensive,slight,complete,complete,slight,slight,moderate,slight,extensive,complete,extensive,extensive,complete,complete,slight
slight,none,none,none,none,none,none,slight,slight,none,none,slight,none,slight,none,slight,none,none,slight,none,none,slight,slight,slight,slight,extensive,slight,slight,moderate,slight,complete,slight,slight,slight,slight,slight,moderate,slight,complete,moderate,slight,moderate,slight,slight,slight,moderate,slight,moderate,slight,slight,slight,slight,complete,moderate,moderate,slight,extensive,moderate,moderate,extensive,moderate,slight,moderate,moderate,slight,slight,none,slight,complete,slight,slight,moderate,moderate,slight,moderate,extensive,complete
moderate,none,slight,slight,none,slight,none,none,slight,none,none,moderate,slight,moderate,slight,slight,none,slight,slight,slight,slight,slight,moderate,extensive,slight,complete,slight,slight,complete,moderate,complete,extensive,extensive,slight,extensive,slight,slight,complete,complete,extensive,extensive,extensive,extensive,slight,moderate,slight,slight,complete,none,moderate,moderate,slight,complete,complete,moderate,slight,extensive,extensive,moderate,complete,extensive,complete,complete,slight,complete,complete,moderate,extensive,slight,complete,complete,moderate,slight,slight,complete,none,slight
slight,slight,extensive,slight,none,none,slight,slight,slight,slight,moderate,slight,slight,moderate,slight,slight,slight,slight,slight,none,slight,slight,slight,slight,slight,extensive,slight,slight,complete,none,complete,slight,moderate,slight,none,none,slight,slight,slight,none,slight,none,slight,none,slight,slight,none,moderate,slight,slight,slight,slight,complete,extensive,slight,slight,extensive,slight,slight,slight,slight,slight,slight,none,moderate,moderate,none,slight,moderate,complete,complete,slight,slight,none,complete,slight,slight
slight,none,extensive,slight,none,none,none,none,slight,slight,slight,extensive,slight,moderate,moderate,slight,slight,slight,slight,slight,slight,slight,slight,slight,slight,slight,slight,slight,slight,slight,slight,slight,slight,moderate,none,slight,slight,slight,slight,slight,slight,slight,slight,slight,slight,slight,slight,complete,complete,slight,complete,slight,none,none,slight,slight,slight,moderate,slight,slight,slight,slight,moderate,slight,complete,complete,complete,moderate,slight,complete,complete,moderate,slight,slight,complete,slight,slight
slight,none,slight,none,none,none,none,none,moderate,none,slight,slight,slight,slight,none,slight,moderate,complete,slight,none,slight,slight,complete,complete,slight,complete,none,complete,complete,complete,complete,extensive,extensive,extensive,complete,moderate,extensive,moderate,moderate,complete,moderate,complete,extensive,slight,extensive,complete,complete,complete,slight,moderate,complete,complete,complete,complete,extensive,moderate,complete,complete,complete,complete,extensive,complete,moderate,moderate,complete,complete,slight,slight,slight,complete,complete,slight,extensive,slight,complete,none,slight
slight,none,slight,none,none,none,none,none,none,none,none,none,slight,slight,slight,slight,none,extensive,none,none,slight,slight,slight,slight,slight,extensive,none,complete,complete,extensive,complete,moderate,moderate,none,extensive,none,extensive,slight,slight,complete,extensive,extensive,slight,slight,complete,none,extensive,complete,slight,complete,complete,extensive,complete,complete,extensive,extensive,complete,complete,complete,complete,slight,complete,extensive,none,complete,complete,slight,complete,slight,complete,complete,moderate,complete,slight,complete,none,slight
moderate,none,moderate,slight,none,slight,none,slight,moderate,slight,slight,complete,moderate,moderate,moderate,moderate,slight,slight,none,none,none,none,moderate,moderate,none,slight,none,slight,none,complete,moderate,moderate,extensive,slight,slight,none,moderate,slight,slight,slight,slight,slight,slight,slight,extensive,none,slight,slight,slight,none,slight,slight,moderate,slight,moderate,moderate,slight,moderate,extensive,moderate,moderate,slight,slight,slight,slight,moderate,slight,extensive,slight,complete,moderate,slight,slight,slight,moderate,slight,slight
slight,none,slight,none,none,none,none,none,slight,none,slight,slight,slight,slight,slight,moderate,slight,slight,slight,none,slight,none,slight,slight,slight,complete,none,complete,complete,complete,complete,extensive,complete,extensive,extensive,slight,slight,moderate,complete,complete,extensive,complete,moderate,slight,moderate,complete,extensive,complete,complete,extensive,extensive,complete,complete,complete,extensive,complete,extensive,extensive,moderate,complete,moderate,extensive,complete,slight,complete,extensive,slight,extensive,extensive,complete,complete,complete,extensive,extensive,complete,complete,complete
none,none,slight,none,none,none,none,none,slight,none,none,slight,slight,slight,none,slight,none,slight,slight,none,slight,none,none,slight,slight,slight,slight,slight,extensive,slight,moderate,none,slight,none,slight,none,moderate,none,slight,moderate,slight,slight,slight,slight,slight,moderate,slight,complete,slight,slight,slight,slight,extensive,extensive,moderate,slight,extensive,moderate,extensive,slight,moderate,slight,slight,slight,moderate,complete,slight,complete,slight,extensive,complete,slight,slight,moderate,slight,slight,slight
moderate,none,complete,slight,none,slight,slight,slight,extensive,slight,slight,slight,extensive,complete,slight,complete,slight,extensive,slight,slight,slight,moderate,complete,extensive,slight,extensive,slight,extensive,moderate,extensive,complete,slight,slight,slight,moderate,none,complete,slight,slight,complete,extensive,slight,moderate,slight,complete,none,slight,complete,slight,moderate,complete,complete,complete,complete,moderate,moderate,complete,slight,extensive,slight,slight,slight,complete,slight,complete,complete,slight,slight,none,complete,complete,extensive,moderate,slight,complete,slight,extensive
moderate,none,slight,none,slight,slight,slight,slight,moderate,slight,slight,extensive,slight,moderate,slight,moderate,none,complete,moderate,slight,slight,slight,extensive,extensive,slight,moderate,slight,complete,complete,slight,complete,slight,slight,slight,complete,none,complete,slight,moderate,extensive,complete,slight,complete,moderate,complete,slight,moderate,complete,slight,moderate,extensive,complete,complete,complete,moderate,extensive,complete,moderate,extensive,extensive,moderate,complete,extensive,slight,complete,complete,slight,moderate,none,complete,complete,complete,complete,slight,complete,slight,complete
