Epicenter Distance,Restricted Entry,Restricted Use,Reoccupancy,Best Line Functionality,Full Functionality
47.5,0.232,0.413,0.148,0.13,0.077
39.1,0.282,0.462,0.122,0.0895,0.0443
56.9,0.191,0.376,0.162,0.163,0.108
62.8,0.347,0.294,0.1,0.132,0.127
32.1,0.299,0.48,0.11,0.0761,0.0343
36.1,0.29,0.469,0.117,0.0844,0.04
40.5,0.266,0.444,0.135,0.104,0.0511
39.1,0.274,0.455,0.13,0.0967,0.0442
32.7,0.31,0.484,0.108,0.0701,0.0275
35.5,0.293,0.469,0.121,0.0819,0.0347
52.4,0.215,0.399,0.149,0.139,0.0981
42.8,0.256,0.431,0.135,0.113,0.065
39.3,0.274,0.446,0.127,0.101,0.0526
34,0.302,0.479,0.117,0.0739,0.0285
31.1,0.312,0.494,0.102,0.0631,0.0293
26.9,0.341,0.506,0.0906,0.0489,0.0135
41.4,0.261,0.452,0.136,0.103,0.0476
59.3,0.18,0.364,0.161,0.165,0.129
49.7,0.227,0.394,0.151,0.139,0.0875
43.7,0.247,0.445,0.142,0.111,0.0552
36.5,0.128,0.398,0.183,0.173,0.117
52,0.203,0.392,0.159,0.147,0.0995
42.5,0.26,0.44,0.136,0.105,0.0575
43.2,0.266,0.435,0.135,0.106,0.0587
43.1,0.248,0.435,0.142,0.115,0.0602
58.5,0.199,0.372,0.149,0.154,0.125
33.1,0.311,0.485,0.106,0.0693,0.029
36.6,0.281,0.465,0.119,0.0879,0.0468
42.9,0.243,0.435,0.14,0.116,0.0658
52.9,0.199,0.391,0.159,0.152,0.0998
40.8,0.264,0.457,0.134,0.097,0.0481
47.9,0.238,0.409,0.146,0.131,0.076
53.5,0.203,0.392,0.154,0.148,0.103
42.2,0.252,0.439,0.137,0.111,0.061
47.5,0.228,0.415,0.146,0.132,0.0784
42.6,0.248,0.433,0.139,0.117,0.0635
24.2,0.346,0.529,0.0776,0.0367,0.0105
33.7,0.284,0.477,0.122,0.0832,0.0335
42.7,0.26,0.435,0.135,0.111,0.0596
42.1,0.521,0.295,0.0751,0.0707,0.0384
34.8,0.287,0.473,0.121,0.0825,0.0365
40.5,0.255,0.441,0.136,0.109,0.059
53,0.194,0.382,0.163,0.162,0.0985
50.4,0.205,0.388,0.157,0.149,0.101
44.1,0.259,0.44,0.135,0.107,0.0587
35,0.289,0.476,0.117,0.0808,0.0372
42.8,0.163,0.424,0.165,0.15,0.0988
44.6,0.255,0.434,0.136,0.112,0.0619
53.5,0.199,0.395,0.159,0.151,0.0953
28.7,0.316,0.501,0.101,0.062,0.0208
29.4,0.323,0.501,0.098,0.0569,0.0209
37,0.288,0.453,0.121,0.0916,0.0466
36.7,0.285,0.461,0.121,0.0891,0.0427
54.3,0.202,0.384,0.155,0.154,0.105
37.4,0.281,0.456,0.124,0.0928,0.0452
41.5,0.254,0.451,0.139,0.107,0.0502
39.7,0.272,0.45,0.129,0.0964,0.0535
51.8,0.196,0.388,0.164,0.158,0.0943
36.5,0.279,0.466,0.126,0.0915,0.0381
41.2,0.251,0.435,0.141,0.116,0.0569
46.5,0.232,0.419,0.145,0.127,0.077
35.3,0.289,0.471,0.122,0.0813,0.0361
53.4,0.194,0.371,0.16,0.16,0.115
46.8,0.223,0.408,0.156,0.135,0.0785
31.8,0.305,0.497,0.11,0.0653,0.0221
37.7,0.27,0.457,0.13,0.096,0.0473
35.6,0.297,0.474,0.122,0.0794,0.0276
52.9,0.203,0.39,0.156,0.15,0.101
55.1,0.201,0.385,0.153,0.15,0.111
60,0.17,0.357,0.168,0.177,0.129
32,0.308,0.483,0.11,0.0707,0.0281
43,0.253,0.443,0.132,0.107,0.0649
47.9,0.231,0.411,0.148,0.132,0.0783
30.9,0.651,0.263,0.0427,0.03,0.0132
42.2,0.252,0.445,0.136,0.108,0.0589
