"Testbed","Hazard","Model_Type","Model_Name","(Intercept)","CONST","RETAIL","SERV","HEALTH","ACCOM","REST","AGRI","MANUF","UTIL","HS"
"Seaside","earthquake/tsunami","sector_model","DFFD _ MANUF_L5","-0.204061372561489","-8.98541457046778e-06","-1.28798230442214e-05","-3.85846430272226e-06","0","-2.42512849863165e-06","1.33602665430859e-05","-5.213508486263e-07","3.35355333460313e-05","1.39346077679777e-05","-3.08015592654092e-06"
"Seaside","earthquake/tsunami","sector_model","DFFD _ UTIL_L1","-0.141321379922888","1.61580227384199e-06","-1.06900395998964e-06","-5.92081222948515e-07","3.06749938303303e-06","2.52176645748035e-06","-1.29113902223228e-05","0","0","-0.000450704567445002","-3.77717880716872e-06"
"Seaside","earthquake/tsunami","sector_model","DFFD _ UTIL_L2","-0.129303375901903","1.04323802966354e-07","-6.25527683573375e-07","-9.07952361582705e-08","1.87889082201003e-06","1.33218960086686e-06","-3.36472618869707e-06","0","0","-0.000238491540933441","-2.08653683096295e-06"
"Seaside","earthquake/tsunami","sector_model","DFFD _ UTIL_L3","0.560447143137841","2.66446226014995e-05","1.42055959388122e-06","-4.65451437212971e-06","2.35309493131092e-05","1.85234101100089e-05","4.37945762630266e-06","0","-5.23423936794963e-06","-0.00225556951862999","-2.15620129477579e-05"
"Seaside","earthquake/tsunami","sector_model","DFFD _ UTIL_L5","-0.0903547159300598","0","0","-4.74263008186973e-07","1.53889103505436e-06","1.09886543275589e-06","1.80466688263501e-06","0","0","-0.000243582101926835","-2.00449704025647e-06"
"Seaside","earthquake/tsunami","sector_model","DFFD _ FED_L1","-3.6432342462958","-0.000127588343968453","-2.44452554665369e-05","0","-0.00012748130885294","-0.000101779553449948","7.92582751138354e-05","0","1.26938396787522e-05","-0.000321735317354655","-7.41017155536534e-06"
"Seaside","earthquake/tsunami","sector_model","DFFD _ FED_L2","-4.98805846941486","-0.000187550632087443","-3.8685406591619e-05","2.29132965637605e-06","-0.000185363533662501","-0.000152277228454843","0.000165342895712974","0","2.00824902336323e-05","-0.000493658254458248","-1.23968991181564e-05"
"Seaside","earthquake/tsunami","sector_model","DFFD _ FED_L3","-11.1859457968991","-0.000489719623987232","-6.84572631002528e-05","-3.33217515346743e-06","-0.000493383931514796","-0.000392333860998316","0.00059684585289971","2.19922709086355e-05","3.69116147017816e-05","-0.00114776716419351","-3.87985688450489e-05"
"Seaside","earthquake/tsunami","sector_model","DFFD _ FED_L4","-2.34253931276057","-9.18819564068133e-05","-9.37036313863297e-06","-8.09126007237442e-07","-9.21530361292508e-05","-7.41995096166725e-05","0.000119400054726098","0","3.60595140017067e-06","-0.000249457953308023","-6.98403154642323e-06"
"Seaside","earthquake/tsunami","sector_model","DFFD _ FED_L5","-1.11123285442626","-3.57447858630011e-05","-4.74752927394079e-06","-3.86914697406533e-07","-3.54541197529283e-05","-2.9414872345258e-05","4.62088286409588e-05","0","2.18149118327225e-06","-8.2660384407507e-05","-1.98205270999634e-06"
